Date,Category,Value1,Value2,Value3,Port,Traffic
2023-01-01,CategoryA,58.82,98.32,9.98,80,21117.16
2023-01-01,CategoryA,61.94,116.12,18.72,443,49713.45
2023-01-01,CategoryA,25.43,68.2,28.95,8080,26180.41
2023-01-01,CategoryA,17.99,132.7,6.76,22,4368.29
2023-01-01,CategoryA,38.76,60.04,34.39,3306,33967.29
2023-01-01,CategoryA,14.44,64.07,5.23,21,33352.53
2023-01-01,CategoryB,59.03,91.21,20.41,80,47550.74
2023-01-01,CategoryB,80.5,78.03,49.6,443,38992.79
2023-01-01,CategoryB,85.29,86.55,45.27,8080,17079.91
2023-01-01,CategoryB,86.71,84.59,31.18,22,35051.59
2023-01-01,CategoryB,57.33,153.93,25.87,3306,47093.44
2023-01-01,CategoryB,29.61,163.78,39.41,21,30943.83
2023-01-01,CategoryC,89.18,31.46,29.79,80,8463.09
2023-01-01,CategoryC,20.71,180.23,14.4,443,47194.88
2023-01-01,CategoryC,96.56,191.68,29.97,8080,11956.67
2023-01-01,CategoryC,52.11,57.56,24.95,22,25764.94
2023-01-01,CategoryC,52.56,96.42,42.67,3306,17575.3
2023-01-01,CategoryC,26.81,184.63,27.63,21,47794.94
2023-01-01,CategoryD,92.43,81.13,47.9,80,31079.4
2023-01-01,CategoryD,41.32,170.37,22.54,443,37419.19
2023-01-01,CategoryD,42.17,38.66,12.81,8080,42421.37
2023-01-01,CategoryD,71.36,133.52,30.91,22,40494.94
2023-01-01,CategoryD,29.56,56.58,8.09,3306,32777.42
2023-01-01,CategoryD,65.17,165.89,33.85,21,37179.57
2023-01-02,CategoryA,29.48,156.58,16.31,80,6968.05
2023-01-02,CategoryA,94.55,114.26,23.41,443,38762.51
2023-01-02,CategoryA,81.54,162.68,11.37,8080,31152.35
2023-01-02,CategoryA,55.66,34.89,9.56,22,35291.86
2023-01-02,CategoryA,90.78,52.77,13.83,3306,28868.21
2023-01-02,CategoryA,61.39,28.49,12.33,21,28238.11
2023-01-02,CategoryB,61.45,126.02,38.8,80,16687.58
2023-01-02,CategoryB,14.41,129.02,12.08,443,37712.32
2023-01-02,CategoryB,93.96,131.1,8.23,8080,45865.34
2023-01-02,CategoryB,72.77,173.93,49.15,22,38747.16
2023-01-02,CategoryB,29.16,134.97,49.39,3306,33260.42
2023-01-02,CategoryB,77.01,187.39,44.17,21,1576.64
2023-01-02,CategoryC,92.75,117.32,15.72,80,15335.91
2023-01-02,CategoryC,26.36,81.02,41.88,443,43710.2
2023-01-02,CategoryC,74.56,158.56,37.51,8080,48013.9
2023-01-02,CategoryC,19.52,40.51,11.26,22,41103.38
2023-01-02,CategoryC,57.64,164.06,43.16,3306,12771.3
2023-01-02,CategoryC,64.19,114.5,39.72,21,44971.14
2023-01-02,CategoryD,50.82,167.22,29.21,80,35576.94
2023-01-02,CategoryD,86.72,132.56,35.89,443,28342.84
2023-01-02,CategoryD,23.07,43.39,35.5,8080,9304.03
2023-01-02,CategoryD,38.27,146.86,9.36,22,5685.61
2023-01-02,CategoryD,23.1,129.94,38.35,3306,26464.42
2023-01-02,CategoryD,35.38,188.7,17.16,21,22717.02
2023-01-03,CategoryA,68.9,118.47,29.16,80,28289.35
2023-01-03,CategoryA,19.57,156.56,37.97,443,32393.33
2023-01-03,CategoryA,29.68,93.16,29.81,8080,36289.46
2023-01-03,CategoryA,59.4,144.15,31.59,22,10139.77
2023-01-03,CategoryA,34.14,174.6,40.09,3306,48441.86
2023-01-03,CategoryA,84.01,110.51,47.81,21,4204.32
2023-01-03,CategoryB,69.58,84.96,29.0,80,37490.68
2023-01-03,CategoryB,57.99,24.87,18.68,443,15253.89
2023-01-03,CategoryB,63.87,115.47,33.09,8080,24730.68
2023-01-03,CategoryB,21.61,31.85,11.39,22,25555.06
2023-01-03,CategoryB,56.65,58.17,29.02,3306,2422.34
2023-01-03,CategoryB,78.23,194.37,42.4,21,36563.02
2023-01-03,CategoryC,78.87,55.66,21.75,80,46961.8
2023-01-03,CategoryC,54.27,85.88,25.27,443,5913.28
2023-01-03,CategoryC,40.99,109.28,33.51,8080,32253.45
2023-01-03,CategoryC,58.35,125.33,28.85,22,10881.14
2023-01-03,CategoryC,34.66,161.5,22.3,3306,40565.63
2023-01-03,CategoryC,38.4,144.63,16.95,21,22838.59
2023-01-03,CategoryD,18.89,196.76,6.68,80,46370.73
2023-01-03,CategoryD,64.0,134.12,24.09,443,14072.26
2023-01-03,CategoryD,60.79,84.75,44.97,8080,36353.01
2023-01-03,CategoryD,13.97,145.06,13.75,22,6580.27
2023-01-03,CategoryD,90.67,38.97,22.83,3306,46999.77
2023-01-03,CategoryD,25.29,98.83,14.84,21,49629.19
2023-01-04,CategoryA,68.45,47.46,23.99,80,1389.31
2023-01-04,CategoryA,72.59,44.42,27.74,443,7498.91
2023-01-04,CategoryA,57.19,129.91,28.92,8080,16144.49
2023-01-04,CategoryA,23.39,25.95,29.05,22,45303.82
2023-01-04,CategoryA,99.59,94.4,36.76,3306,24390.26
2023-01-04,CategoryA,39.14,74.35,25.14,21,33941.9
2023-01-04,CategoryB,33.97,151.64,39.35,80,15294.05
2023-01-04,CategoryB,31.13,126.22,15.25,443,38958.93
2023-01-04,CategoryB,93.48,37.53,19.99,8080,28054.91
2023-01-04,CategoryB,70.17,31.91,5.44,22,32470.82
2023-01-04,CategoryB,81.67,121.03,6.88,3306,10202.34
2023-01-04,CategoryB,12.38,25.02,12.92,21,21678.44
2023-01-04,CategoryC,60.2,52.6,11.9,80,18983.66
2023-01-04,CategoryC,54.42,58.07,17.37,443,35610.64
2023-01-04,CategoryC,87.85,43.11,8.91,8080,8699.3
2023-01-04,CategoryC,34.27,37.3,11.73,22,44924.86
2023-01-04,CategoryC,86.84,99.53,23.36,3306,20539.42
2023-01-04,CategoryC,13.15,93.46,5.46,21,41803.09
2023-01-04,CategoryD,91.37,48.63,38.05,80,3961.56
2023-01-04,CategoryD,86.45,32.26,25.85,443,24762.64
2023-01-04,CategoryD,84.24,81.83,30.7,8080,43488.59
2023-01-04,CategoryD,13.3,185.59,16.75,22,3656.75
2023-01-04,CategoryD,83.66,42.83,37.34,3306,16420.4
2023-01-04,CategoryD,23.49,127.28,36.34,21,28451.81
2023-01-05,CategoryA,12.49,101.98,27.45,80,30500.93
2023-01-05,CategoryA,81.14,184.07,37.04,443,44488.99
2023-01-05,CategoryA,96.44,123.79,38.37,8080,22178.73
2023-01-05,CategoryA,78.47,91.74,34.36,22,22299.27
2023-01-05,CategoryA,15.8,116.15,10.5,3306,12044.4
2023-01-05,CategoryA,91.1,196.97,16.84,21,8187.31
2023-01-05,CategoryB,48.5,43.99,20.95,80,25789.78
2023-01-05,CategoryB,46.97,132.8,47.2,443,29654.99
2023-01-05,CategoryB,51.83,93.56,46.47,8080,10961.65
2023-01-05,CategoryB,45.94,149.28,46.79,22,21429.98
2023-01-05,CategoryB,19.53,198.54,25.83,3306,2303.42
2023-01-05,CategoryB,32.81,26.44,30.52,21,41944.81
2023-01-05,CategoryC,38.59,196.91,41.72,80,21169.09
2023-01-05,CategoryC,66.26,80.16,27.22,443,40552.7
2023-01-05,CategoryC,82.4,40.79,21.44,8080,1952.41
2023-01-05,CategoryC,85.18,52.36,7.62,22,24006.03
2023-01-05,CategoryC,18.88,191.58,25.14,3306,16918.75
2023-01-05,CategoryC,84.91,52.63,28.93,21,44094.03
2023-01-05,CategoryD,83.1,117.4,26.98,80,20762.69
2023-01-05,CategoryD,95.16,72.6,29.75,443,4721.2
2023-01-05,CategoryD,16.65,25.68,44.42,8080,32810.87
2023-01-05,CategoryD,22.67,97.27,29.83,22,34355.48
2023-01-05,CategoryD,58.14,153.51,39.02,3306,11037.19
2023-01-05,CategoryD,11.14,59.29,43.97,21,34812.54
2023-01-06,CategoryA,33.49,192.91,48.34,80,37950.9
2023-01-06,CategoryA,34.06,120.73,7.58,443,34581.65
2023-01-06,CategoryA,93.34,176.99,34.14,8080,24495.38
2023-01-06,CategoryA,14.37,88.45,27.54,22,20805.06
2023-01-06,CategoryA,91.96,51.45,27.61,3306,37700.31
2023-01-06,CategoryA,49.8,128.55,45.97,21,44835.38
2023-01-06,CategoryB,91.27,76.09,17.95,80,23610.83
2023-01-06,CategoryB,51.19,160.9,20.59,443,12600.89
2023-01-06,CategoryB,41.22,105.85,8.02,8080,31878.82
2023-01-06,CategoryB,55.27,99.43,18.66,22,26752.09
2023-01-06,CategoryB,34.98,47.78,38.34,3306,19834.68
2023-01-06,CategoryB,80.61,101.17,44.52,21,30348.71
2023-01-06,CategoryC,29.24,108.94,12.52,80,21377.45
